mean_test_score,learning_rate,max_depth,n_estimators
0.8669381996116001,0.1,13,70
0.8678176678430278,0.1,13,75
0.8681526997841462,0.1,13,80
0.868257399218306,0.1,13,85
0.8685191524624459,0.1,13,90
0.8684458578709415,0.1,14,70
0.8688437164880709,0.1,14,75
0.8691578098577664,0.1,14,80
0.869911639535524,0.1,14,85
0.8701629204794733,0.1,14,90
0.8697441243870955,0.1,15,70
0.8698488117633391,0.1,15,75
0.8703513714588894,0.1,15,80
0.870518887155405,0.1,15,85
0.8708329772365782,0.1,15,90
0.8695137990052692,0.1,16,70
0.8704142129332517,0.1,16,75
0.8703932683328708,0.1,16,80
0.8706131477226874,0.1,16,85
0.8710947573369857,0.1,16,90
0.8701419714943956,0.1,17,70
0.8704560813067042,0.1,17,75
0.8706968839215049,0.1,17,80
0.8711680245241352,0.1,17,85
0.8714821195380921,0.1,17,90
0.8679956569359082,0.13,13,70
0.8686971355263683,0.13,13,75
0.8689065343946879,0.13,13,80
0.8692101691663705,0.13,13,85
0.8697022620426011,0.13,13,90
0.8700268244239648,0.13,14,70
0.8705921932567386,0.13,14,75
0.8703827954845933,0.13,14,80
0.8704456221606041,0.13,14,85
0.8708120627809874,0.13,14,90
0.8696917793287557,0.13,15,70
0.8704351482161521,0.13,15,75
0.8708225274079586,0.13,15,80
0.8713460190978866,0.13,15,85
0.8716496407154788,0.13,15,90
0.8695661544772635,0.13,16,70
0.8698383723483746,0.13,16,75
0.8704246775602231,0.13,16,80
0.8707492421339348,0.13,16,85
0.8708434731045138,0.13,16,90
0.8713355424129994,0.13,17,70
0.8712727288910791,0.13,17,75
0.8716915151178892,0.13,17,80
0.8718276303564462,0.13,17,85
0.8720265624054464,0.13,17,90
0.8695033447919528,0.15,13,70
0.8694614692933683,0.15,13,75
0.8698279099137517,0.15,13,80
0.8701001228520789,0.15,13,85
0.8699535402461152,0.15,13,90
0.870424688521965,0.15,14,70
0.8702048184496289,0.15,14,75
0.8706969020083791,0.15,14,80
0.8711366427011381,0.15,14,85
0.8713250991614251,0.15,14,90
0.8706550117114429,0.15,15,70
0.8708853524397082,0.15,15,75
0.8713460311558029,0.15,15,80
0.8712517968967013,0.15,15,85
0.8715973077150554,0.15,15,90
0.8712727234102079,0.15,16,70
0.8716077657649814,0.15,16,75
0.8716915315605022,0.15,16,80
0.8719637412103067,0.15,16,85
0.8719846726565972,0.15,16,90
0.871168050284229,0.15,17,70
0.8712727316315145,0.15,17,75
0.8718799808956568,0.15,17,80
0.8718590401318856,0.15,17,85
0.8720056205455009,0.15,17,90
0.8698278808651354,0.17,13,70
0.8697859960490704,0.17,13,75
0.8701943297068254,0.17,13,80
0.8704037187095774,0.17,13,85
0.8705921866796935,0.17,13,90
0.8697859960490704,0.17,14,70
0.870246674765165,0.17,14,75
0.8704560719892234,0.17,14,80
0.870759701828122,0.17,14,85
0.8716182429979558,0.17,14,90
0.8701629215756477,0.17,15,70
0.871084277911663,0.17,15,75
0.8712099060516779,0.17,15,80
0.8713041457916505,0.17,15,85
0.8715240081907671,0.17,15,90
0.8708644083874141,0.17,16,70
0.8714402632225561,0.17,16,75
0.8715030767444765,0.17,16,80
0.8714402489722914,0.17,16,85
0.871544952243061,0.17,16,90
0.8707701659070061,0.17,17,70
0.8712203799961298,0.17,17,75
0.8712831935180502,0.17,17,80
0.8716077542551524,0.17,17,85
0.871743873330319,0.17,17,90
0.8696708615846427,0.2,13,70
0.8695556788885505,0.2,13,75
0.8697231945850661,0.2,13,80
0.8703513791321088,0.2,13,85
0.8702361991764519,0.2,13,90
0.8702990603819499,0.2,14,70
0.870948197202593,0.2,14,75
0.8708120841563842,0.2,14,80
0.8707073836260502,0.2,14,85
0.8712099263309007,0.2,14,90
0.8696394375589389,0.2,15,70
0.8698802527797429,0.2,15,75
0.8703409210821829,0.2,15,80
0.8706759579560851,0.2,15,85
0.8705503128253703,0.2,15,90
0.8713983641562262,0.2,16,70
0.8713774201039323,0.2,16,75
0.8715868140394679,0.2,16,80
0.8713145945240959,0.2,16,85
0.8716286972112719,0.2,16,90
0.8705607686829477,0.2,17,70
0.870581714379503,0.2,17,75
0.8711575522239448,0.2,17,80
0.8711680173990028,0.2,17,85
0.8712098890609778,0.2,17,90
